name,price,volume
Dark infinity colour kit,8391,124
Dark kebbit fur,781,1467
Dark tuxedo cuffs,213300,12
Dark tuxedo shoes,710855,29
Dashing kebbit fur,1088,622
Death talisman,3445,1319
Deerstalker,18984,24
Defence mix(2),62,7
Defence potion(1),115,21
Defence potion(3),306,1515
Demon feet,39959,209
Desert boots,239,1838
Desert camo top,3813,8
Desert goat horn,41,136796
Desert legs,771,15
Desert shirt,241,951
Desert top,857,39
Dexterous prayer scroll,31831924,363
Dharok's greataxe,1287967,1156
Dharok's greataxe 0,1214858,3548
Dharok's platebody,776072,1112
Dharok's platebody 0,736500,3640
Dharok's platelegs,965295,1151
Diamond,1689,2090135
Diamond amulet (u),1864,146029
Diamond bolt tips,160,2165910
Diamond bolts (e),293,3989892
Diamond dragon bolts,1820,739611
Diamond dragon bolts (e),1907,2298472
Diamond ring,1877,69386
Digsite teleport,9368,16414
Disk of returning,16070,810
Divine bastion potion(2),8383,551
Divine bastion potion(3),12979,512
Divine bastion potion(4),15341,110315
Divine battlemage potion(3),9154,41
Divine magic potion(1),730,1912
Divine magic potion(3),1977,181
Divine magic potion(4),2146,51024
Divine ranging potion(1),651,36017
Divine ranging potion(4),2219,350643
Divine super attack potion(2),705,53
Divine super attack potion(4),1318,17376
Divine super combat potion(1),3601,35179
Divine super combat potion(2),7320,7629
Divine super defence potion(1),589,127
Divine super defence potion(3),1157,63
Divine super defence potion(4),2038,3499
Divine super strength potion(2),1736,337
Divine super strength potion(4),2915,12151
Dodgy necklace,1252,458615
Dorgeshuun crossbow,2781,516
Draconic visage,2823133,209
Dragon 2h sword,134688,954
Dragon armour set (sk),103398356,0
Dragon arrow,2524,4832858
Dragon arrow(p+),1139,329
Dragon arrowtips,2540,1486686
Dragon battleaxe,119300,13927
Dragon bitter,281,1
Dragon bitter(m4),17709,0
Dragon bitter(m),502,1
Dragon bolts (p+),1723,676
Dragon bolts (p++),2971,15013
Dragon bolts (unf),1619,4730115
Dragon boots,112719,13217
Dragon cane,32781,122
Dragon chainbody,154904,2246
Dragon chainbody ornament kit,15551,85
Dragon crossbow,993632,6783
Dragon dagger,17300,38406
Dragon dagger(p),17927,278
Dragon dart,2646,5766385
Dragon dart(p),2681,200
Dragon dart(p+),2885,824
Dragon full helm,55791676,48
Dragon halberd,149245,10678
Dragon hasta(p),46200,0
Dragon hasta(p+),49811,0
Dragon hunter crossbow,66505255,1622
Dragon impling jar,371200,2981
Dragon javelin,838,641398
Dragon javelin heads,944,911472
Dragon javelin(p++),1689,31299
Dragon kiteshield,49814981,21
Dragon kiteshield ornament kit,4732319,8
Dragon knife(p+),3011,1340
Dragon knife(p++),2649,100149
Dragon longsword,59112,46927
Dragon mace,29794,2581
Dragon med helm,57879,48408
Dragon metal slice,44339933,1
Dragon necklace,11559,13340
Dragon pickaxe,8051515,3133
Dragon platebody ornament kit,9148927,31
Dragon platelegs,161187,26204
Dragon scale dust,147,767684
Dragon scimitar ornament kit,383822,182
Dragon spear(p),41009,3
Dragon spear(p+),43652,3
Dragon sq shield ornament kit,6333,42
Dragon sword,80774,1419
Dragon thrownaxe,408,170644
Dragonfire shield,2885636,2883
Dragonfire ward,15275592,1319
Dragonfruit pie,456,12225
Dragonfruit sapling,164176,10169
Dragonstone,11348,508441
Dragonstone armour set,5230887,10
Dragonstone bolt tips,301,2615254
Dragonstone bolts,560,2325721
Dragonstone bracelet,11877,287228
Dragonstone dragon bolts,2238,235563
Dragonstone gauntlets,558863,27
Dragonstone platebody,1559293,57
Dragonstone platelegs,1470346,57
Drake's claw,492140,111
Drake's tooth,60494,121
Drift net,2900,132671
Druid's robe top,824,12
Drunk dragon,41,63
Dust battlestaff,11167,627
Dwarf cannon set,758447,2316
Dwarf weed,744,517193
Dwarf weed seed,427,37219
Dwarven stout,123,22761
Dwarven stout(m4),264398,5
Dwellberries,73,2643
Dwellberry seed,1,97626
Earmuffs,427,282
Earth impling jar,2086,4327
Earth orb,1526,193400
Earth talisman,241,167158
Easter egg,19747,3285
Edible seaweed,69,701
Efaritay's aid,1335,250
Egg,29,524260
Egg potato,249,2144
Egg whisk,56,103
Elder chaos top,487188,645
Elemental helmet,449,4
Elemental shield,988,313
Elemental talisman,4706,648
Elven boots,10479,20
Elven dawn,80,3
Elven gloves,12224,25
Elven signet,1704734,117
Elysian spirit shield,627946709,283
Emerald amulet,703,55298
Emerald amulet (u),605,91910
Emerald bolts,126,746670
Emerald bracelet,761,123082
Emerald dragon bolts,2078,36117
Emerald dragon bolts (e),1691,31639
Empty candle lantern,46,74744
Empty cup,6,432662
Empty fishbowl,11,32888
Empty plant pot,5,38850
Empty sack,2,895474
Enchant dragonstone,252,980
Enchant onyx,570,11
Enchant ruby or topaz,689,6052
Enchant sapphire or opal,137,3572
Enchanted top,77996,434
Energy mix(1),279,4
Energy mix(2),410,35
Energy potion(3),266,92800
Energy potion(4),389,185954
Enhanced crystal teleport seed,3099512,7895
Ensouled abyssal head,4329,26978
Ensouled aviansie head,3498,10577
Ensouled bear head,901,193
Ensouled dagannoth head,2076,15090
Ensouled demon head,3933,29288
Ensouled dog head,1411,98
Ensouled dragon head,6908,210992
Ensouled giant head,1050,33139
Ensouled hellhound head,4109,11150
Ensouled horror head,2678,3331
Ensouled kalphite head,1613,8743
Ensouled minotaur head,518,144
Ensouled ogre head,1311,2965
Ensouled troll head,2064,7040
Ensouled unicorn head,7341,49
Equa leaves,107,5589
Eternal crystal,1465068,168
Eternal gem,7242759,81
Evil chicken feet,358036,33
Evil chicken wings,769858,34
Expeditious bracelet,1166,36877
Explorer backpack,48744,134
Extended antifire(1),45,34094
Extended antifire(2),95,8376
Extended antifire(3),96,13273
Extended super antifire mix(1),601,0
Extended super antifire(1),2421,1329
Extended super antifire(2),5226,2428
Extended super antifire(4),11397,147016
Eye of newt,4,1979097
Falador teleport,489,321902
Fancy tiara,10668,34
Fat snail,1834,684
Fayrg bones,4647,146
Fedora,10083,95
Feldip hills teleport,758,15097
Fenkenstrain's castle teleport,2160,31315
Fez,583,118
Filled plant pot,2,493924
Fine cloth,7587,3648
Fire battlestaff,8927,129358
Fire rune,5,210826038
Fire tiara,25,3502
Fish food,529,331
Fish offcuts,20,19094
Fish pie,109,2728
Fishing bait,4,7629241
Fishing mix(2),158,6
Fishing potion(2),108,15
Fishing potion(3),94,15202
Fishing rod,66,7478
Flamtaer bracelet,793,3394
Flared trousers,3031206,239
Flax,6,61824187
Flighted ogre arrow,100,116972
Fremennik beige shirt,595,3
Fremennik blue cloak,979,6
Fremennik boots,139,609
Fremennik brown cloak,57,25
Fremennik cyan cloak,982,23
Fremennik grey cloak,883,7
Fremennik hat,1026,70
Fremennik pink cloak,708,11
Fremennik purple cloak,39,24
Fremennik red cloak,1194,24
Fremennik skirt,731,3
Fremennik teal cloak,652,1
Fried mushrooms,188,1086
Frog slippers,67437,175
Frog-leather body,371,872
Frog-leather chaps,281,106
Fruit batta,3589,275
Fruit blast,1817,851
Frying pan,1301,6
Gadderhammer,1898,122
Games necklace(8),739,111190
Garden pie,113,17386
Gardening trowel,233,2332
Garlic powder,253,464
Ghorrock teleport,1475,32547
Gianne's cook book,56,17
Giant boot,50810,39
Giant frog legs,3185,346
Gilded armour set (lg),23854870,54
Gilded armour set (sk),14958218,3
Gilded axe,4938232,77
Gilded boots,2388534,78
Gilded chainbody,1247999,188
